feature	aminoglycoside_antibiotic	cephalosporin	cephamycin	fluoroquinolone_antibiotic	glycopeptide_antibiotic	monobactam	penam	penem	sulfonamide_antibiotic	tetracycline_antibiotic	disinfecting_agents_and_antiseptics	lincosamide_antibiotic	macrolide_antibiotic	nitroimidazole_antibiotic	streptogramin_A_antibiotic	streptogramin_B_antibiotic	streptogramin_antibiotic	elfamycin_antibiotic
SL021	27.2411567730141	49.5493165582282	6.81392134748994	21.2471804163936	118.422557599874	42.7353952107383	49.5493165582282	42.7353952107383	16.1043309158113	15.0575494062836	0	0	0	0	0	0	0	0
SL036	118.592772731492	10.9878623792675	0	108.683844207219	101.722020086453	10.9878623792675	119.671706586487	10.9878623792675	9.45810870630256	115.566942774763	122.263580343893	3.59393716653001	3.59393716653001	5.60036834539032	3.59393716653001	3.59393716653001	3.59393716653001	0
SL037	24.4038093918719	0.485876830950676	9.94477329403276	10.4562415377941	99.9917883230914	0.322781333309923	4.58491411678907	0.322781333309923	0	10.4297492822905	20.0066143082537	0	0	0	0	0	0	0
SL038	0	0	24.3642955711051	0	152.335279753169	0	0	0	0	25.8786042194481	4.05442024490742	0	0	0	0	0	0	0
SL048	1.08230980458597	6.71852280672146	6.71852280672146	11.49887306491	64.7650829002766	0	7.80083261130742	0	0.312357792867641	14.9868272177527	15.7574468367675	0	0	6.92141094583596	0	0	0	13.3357008073922
SL050	25.0900252266726	14.8007764428119	0	87.3830714437615	127.520610963482	14.8007764428119	29.1353866984486	14.8007764428119	11.154996951384	21.2304265528559	93.559877492577	0	0	0	0	0	0	0
SL068	30.224261992917	0.634674398178792	11.3137610110133	43.3918440852529	93.5985502560972	0.634674398178792	30.8589363910958	0.634674398178792	11.3844720173321	39.1884131876667	55.9123014166407	16.5352652582415	16.5352652582415	0	16.5352652582415	16.5352652582415	16.5352652582415	20.2927458770482
SL085	0	0.49483546068739	0.441048997569196	19.5736188643624	105.438902582245	0.49483546068739	0.49483546068739	0.49483546068739	0	0.481416193956885	0	0	0	6.4137060678772	0	0	0	10.0670829419845
SL086	25.3576361121523	24.5252771933388	0	34.8532234963065	70.9918157561418	24.5252771933388	24.5252771933388	24.5252771933388	1.01481467048562	12.0762945787788	25.6564024830384	45.0482181291888	45.0482181291888	7.06122207928597	45.0482181291888	45.0482181291888	45.0482181291888	0
SL088	38.9607006833189	38.1330371008457	26.7104533047933	6.67576605808219	147.413404537963	26.2282290158942	38.1330371008457	26.2282290158942	35.054542358743	5.44225771779571	22.8106112956414	0	0	0	0	0	0	0
SL090	20.2155705496212	11.916231831153	19.7783543545333	22.1597005266107	151.55712190038	0	11.916231831153	0	6.98052422572185	71.4144171800189	30.1381363396245	51.3392900162795	51.3392900162795	0	51.3392900162795	51.3392900162795	51.3392900162795	20.1429569459769
SL103	21.9896276026357	22.6442101317485	0.197871401407009	53.86793287587	260.489949833229	22.6442101317485	30.140044396814	22.6442101317485	16.1628926340476	41.3081773842197	35.6023473789905	38.7794756518392	38.7794756518392	0	38.7794756518392	38.7794756518392	38.7794756518392	0
SL111	0	0	0	60.5930942245029	212.351325974096	0	0	0	0	15.4060881532667	51.0521012932103	0	0	0	0	0	0	0
SL112	19.7533094075983	7.00099621900873	6.24001836911647	31.7043466485716	70.1035578175565	7.00099621900873	14.2246458022835	7.00099621900873	4.00133530838259	9.95960534969021	58.9779837537953	0	0	0	0	0	0	24.798148949166
SL114	0	7.66097912001673	0	7.93182181617894	111.254021043524	7.66097912001673	7.66097912001673	7.66097912001673	0	15.2605715910586	4.99704774419273	0	0	0	0	0	0	18.5544388813907
SL118	0	0	13.6887699565968	0.401876725567484	71.1846323705145	0	0	0	0	7.86008789870349	12.522113426205	0	0	0	0	0	0	0
SL125	10.6985582223527	25.8012899608059	39.3871208855939	59.474642324357	141.945035640806	16.0954693194202	25.8012899608059	16.0954693194202	0	60.5993213319252	75.5394191094867	0	0	0	0	0	0	33.067723698231
SL200	21.1722246713582	0	0	21.2223684797893	40.4711894744283	0	9.9400115827973	0	0	18.8899821712921	12.9273022978401	6.27816788486638	6.27816788486638	10.4001973042231	6.27816788486638	6.27816788486638	6.27816788486638	0.355449781283574
