SL021_S168_R1.fastq.gz  2282908
SL036_S162_R1.fastq.gz  8033360
SL037_S161_R1.fastq.gz  7196452
SL038_S158_R1.fastq.gz  3823944
SL048_S169_R1.fastq.gz  7846708
SL050_S172_R1.fastq.gz  4394408
SL068_S155_R1.fastq.gz  3659956
SL085_S159_R1.fastq.gz  4694248
SL086_S157_R1.fastq.gz  4830400
SL088_S156_R1.fastq.gz  5313848
SL090_S160_R1.fastq.gz  7373456
SL103_S163_R1.fastq.gz  10463328
SL111_S171_R1.fastq.gz  5151540
SL112_S166_R1.fastq.gz  7963028
SL114_S165_R1.fastq.gz  3638512
SL118_S170_R1.fastq.gz  7259884
SL125_S167_R1.fastq.gz  4185248
SL200_S164_R1.fastq.gz  4748248
SL021_S168_R2.fastq.gz  2282908
SL036_S162_R2.fastq.gz  8033360
SL037_S161_R2.fastq.gz  7196452
SL038_S158_R2.fastq.gz  3823944
SL048_S169_R2.fastq.gz  7846708
SL050_S172_R2.fastq.gz  4394408
SL068_S155_R2.fastq.gz  3659956
SL085_S159_R2.fastq.gz  4694248
SL086_S157_R2.fastq.gz  4830400
SL088_S156_R2.fastq.gz  5313848
SL090_S160_R2.fastq.gz  7373456
SL103_S163_R2.fastq.gz  10463328
SL111_S171_R2.fastq.gz  5151540
SL112_S166_R2.fastq.gz  7963028
SL114_S165_R2.fastq.gz  3638512
SL118_S170_R2.fastq.gz  7259884
SL125_S167_R2.fastq.gz  4185248
SL200_S164_R2.fastq.gz  4748248
